Verdensmesterskapet i fotball 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Language: Norwegian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruppespill,,,,,,,,,Home Page: www.excely.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round of 32,,,,,,,8-dels finale,,,,,,,Kvartfinale,,,,,,,Semifinale,,,,,,,,,,,,
1,Tors,"Jun 11, 2026",21:00,Mexico,3,1,Sør-Afrika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fre,"Jun 12, 2026",4:00,Sør-Korea,2,0,Tsjekkia,,Gruppe A,S,V,T,U,Mål,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fre,"Jun 12, 2026",21:00,Canada,1,2,Bosnia-Hercegovina,,Sør-Afrika,3,2,0,1,6 - 5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jun 29, 2026   22:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lør,"Jun 13, 2026",3:00,USA,2,1,Paraguay,,Sør-Korea,3,2,0,1,6 - 5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,Tyskland,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Søn,"Jun 14, 2026",3:00,Haiti,1,2,Skottland,,Mexico,3,1,1,1,5 - 4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil,2,,,,,"Jul 4, 2026   23:00",,,,,,,,,,,,,,,,,,,,,,,,,,
6,Søn,"Jun 14, 2026",6:00,Australia,2,3,Tyrkia,,Tsjekkia,3,0,1,2,1 - 4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Brasil,3,,,,,,,,,,,,,,,,,,,,,,,,
7,Søn,"Jun 14, 2026",0:00,Brasil,4,1,Marokko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jun 30, 2026   23:00",,,,,,,,Tyrkia,2,,,,,,,,,,,,,,,,,,,,,,,,
8,Søn,"Jun 14, 2026",9:00,Qatar,1,1,Sveits,,Gruppe B,S,V,T,U,Mål,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Irak,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Man,"Jun 15, 2026",1:00,Elfenbenskysten,2,3,Ecuador,,Bosnia-Hercegovina,3,1,2,0,4 - 3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrkia,1,,,,,,,,,,,,"Jul 9, 2026   22:00",,,,,,,,,,,,,,,,,,,
10,Man,"Jun 15, 2026",7:00,Tyskland,3,3,Curaçao,,Qatar,3,1,2,0,3 - 2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,Brasil,4,,,,,,,,,,,,,,,,,
11,Søn,"Jun 14, 2026",22:00,Nederland,1,1,Japan,,Canada,3,1,0,2,4 - 3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jun 29, 2026   09:00",,,,,,,,,,,,,,,Qatar,1,,,,,,,,,,,,,,,,,
12,Man,"Jun 15, 2026",4:00,Sverige,2,1,Tunisia,,Sveits,3,0,2,1,2 - 5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Sør-Korea,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tirs,"Jun 16, 2026",0:00,Saudi-Arabia,2,2,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qatar,3,,,,,"Jul 5, 2026   00:00",,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tirs,"Jun 16, 2026",6:00,Spania,2,2,Kapp Verde,,Gruppe C,S,V,T,U,Mål,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Qatar,2,,,,,,,,,,,,,,,,,,,,,,,,
15,Tirs,"Jun 16, 2026",3:00,Iran,1,1,New Zealand,,Haiti,3,2,0,1,8 - 6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jun 30, 2026   03:00",,,,,,,,Skottland,1,,,,,,,,,,,,,,,,,,,,,,,,
16,Tirs,"Jun 16, 2026",9:00,Belgia,2,1,Egypt,,Skottland,3,1,2,0,6 - 5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,Sverige,3,,,,,,,,,,,,,,,,,,,"Jul 14, 2026   21:00",,,,,,,,,,,,
17,Tirs,"Jun 16, 2026",21:00,Frankrike,1,1,Senegal,,Brasil,3,1,1,1,10 - 8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skottland,5,,,,,,,,,,,,,,,,,,,101,Brasil,0,,,,,,,,,,
18,Ons,"Jun 17, 2026",0:00,Irak,1,0,Norge,,Marokko,3,0,1,2,3 - 8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,3,,,,,,,,,,
19,Ons,"Jun 17, 2026",3:00,Argentina,1,1,Algerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 3, 2026   01:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
